2018_03_20 | D:\Resource\java\workplace\MailSendWithThreadAndTimeBreak\attachment\\4.pdf Send Successfully.
2018_03_20 | D:\Resource\java\workplace\MailSendWithThreadAndTimeBreak\attachment\\5.pdf Send Successfully.
2018_03_20 | D:\Resource\java\workplace\MailSendWithThreadAndTimeBreak\attachment\\3.pdf Send Successfully.
2018_03_20 | D:\Resource\java\workplace\MailSendWithThreadAndTimeBreak\attachment\\6.pdf Send Successfully.
2018_03_20 | D:\Resource\java\workplace\MailSendWithThreadAndTimeBreak\attachment\\2.pdf Send Successfully.
2018_03_20 | D:\Resource\java\workplace\MailSendWithThreadAndTimeBreak\attachment\\1.pdf Send Successfully.
2018_03_20 | D:\Resource\java\workplace\MailSendWithThreadAndTimeBreak\attachment\\4.pdf Send Successfully.
2018_03_20 | D:\Resource\java\workplace\MailSendWithThreadAndTimeBreak\attachment\\3.pdf Send Successfully.
2018_03_20 | D:\Resource\java\workplace\MailSendWithThreadAndTimeBreak\attachment\\2.pdf Send Successfully.
2018_03_20 | D:\Resource\java\workplace\MailSendWithThreadAndTimeBreak\attachment\\1.pdf Send Successfully.
2018_03_20 | D:\Resource\java\workplace\MailSendWithThreadAndTimeBreak\attachment\\4.pdf Send Successfully.
2018_03_20 | D:\Resource\java\workplace\MailSendWithThreadAndTimeBreak\attachment\\3.pdf Send Successfully.
2018_03_20 | D:\Resource\java\workplace\MailSendWithThreadAndTimeBreak\attachment\\2.pdf Send Successfully.
2018_03_20 | D:\Resource\java\workplace\MailSendWithThreadAndTimeBreak\attachment\\1.pdf Send Successfully.
2018_03_20 | D:\Resource\java\workplace\MailSendWithThreadAndTimeBreak\attachment\\4.pdf Send Successfully.
2018_03_20 | D:\Resource\java\workplace\MailSendWithThreadAndTimeBreak\attachment\\3.pdf Send Successfully.
2018_03_20 | D:\Resource\java\workplace\MailSendWithThreadAndTimeBreak\attachment\\1.pdf Send Successfully.
2018_03_20 | D:\Resource\java\workplace\MailSendWithThreadAndTimeBreak\attachment\\2.pdf Send Successfully.
